URL,Kód odpovědi,Chyba související se Zprávami,Zjištěno,Kategorie,Platforma,Naposledy procházeno
http://activate.etnetera.cz/nas-tym/vaclav-peterka.html,404,,1.5.15,Nenalezeno,Počítač,14.9.15
http://activate.etnetera.cz/novinky/personalizace-eshopu-prezentace-e-business-forum-2014.html,404,,8.9.15,Nenalezeno,Počítač,11.9.15
http://activate.etnetera.cz/cz/novinky/index.html,404,,16.7.15,Nenalezeno,Počítač,19.7.15
http://activate.etnetera.cz/novinky/31946-activate_life_110525_omniture_summit_den_druhy.html,404,,11.9.15,Nenalezeno,Počítač,18.9.15
http://activate.etnetera.cz/reference/spravny-krok.html,404,,5.9.15,Nenalezeno,Počítač,15.9.15
http://activate.etnetera.cz/novinky/40735-activate_life_120926_web_expo_2012.html,404,,10.7.15,Nenalezeno,Počítač,27.8.15
http://activate.etnetera.cz/novinky/22214-activate_life_091223_abtestovani.html,404,,11.9.15,Nenalezeno,Počítač,15.9.15
http://activate.etnetera.cz/novinky/45500-activate_life_130306_neni_dulezite_zucastnit_se_ale_vyhrat.html,404,,6.9.15,Nenalezeno,Počítač,9.9.15
http://activate.etnetera.cz/novinky/53700-activate_life_140513_adobe_digital_marketing_summit_2014.html,404,,6.9.15,Nenalezeno,Počítač,9.9.15
http://activate.etnetera.cz/nas-tym/hka/,404,,3.9.15,Nenalezeno,Počítač,3.9.15
http://activate.etnetera.cz/cz/novinky/46638-activate_life_130607_digital_je_o_spolupraci.html,404,,2.8.15,Nenalezeno,Počítač,2.8.15
http://activate.etnetera.cz/public/4d/df/58/19537_29215_GAU_2_spravnykrok.pdf,404,,28.8.15,Nenalezeno,Počítač,28.8.15
http://activate.etnetera.cz/novinky/nepresnost-statistik-skliku-aneb-experiment-ruzova-hyena.html,404,,2.8.15,Nenalezeno,Počítač,13.9.15
http://activate.etnetera.cz/reference/o2.html,404,,16.9.15,Nenalezeno,Počítač,16.9.15
http://activate.etnetera.cz/novinky/etnetera-hodnoti-webexpo-2012.html,404,,11.9.15,Nenalezeno,Počítač,17.9.15
http://activate.etnetera.cz/novinky/povinny-dkim-na-seznam-cz-co-znamena-pro-marketery.html,404,,6.9.15,Nenalezeno,Počítač,18.9.15
http://activate.etnetera.cz/cz/novinky/34926-activate_life_111107_konference.html,404,,2.8.15,Nenalezeno,Počítač,2.8.15
http://activate.etnetera.cz/novinky/19236-activate_life_090609_gau.html,404,,11.9.15,Nenalezeno,Počítač,12.9.15
http://activate.etnetera.cz/cz/reference/spravny-krok.html,404,,27.8.15,Nenalezeno,Počítač,27.8.15
http://activate.etnetera.cz/reference/nivea.html,404,,7.9.15,Nenalezeno,Počítač,7.9.15
http://activate.etnetera.cz/cz/novinky/28832-activate_life_101005_prednaska_LZa.html,404,,17.8.15,Nenalezeno,Počítač,17.8.15
http://activate.etnetera.cz/novinky/28832-activate_life_101005_prednaska_lza.html,404,,11.9.15,Nenalezeno,Počítač,16.9.15
http://activate.etnetera.cz/novinky/40739-activate_life_120523_adobe_dm_summit_2012_1.html,404,,11.9.15,Nenalezeno,Počítač,16.9.15
http://activate.etnetera.cz/novinky/22214-activate_life_091223_ABtestovani.html,404,,7.9.15,Nenalezeno,Počítač,7.9.15
http://activate.etnetera.cz/novinky/19136-activate_life_090522_gaac.html,404,,9.9.15,Nenalezeno,Počítač,14.9.15
